participant,word,word_class,icon,rt_z,icon_z,quantile,rt,acc
105,hirogeru,Verb,2.692307692,-0.25357737856711876,0.9999742469614596,5,1.8355,1
105,mamoru,Verb,2.714285714,-0.4710985452074901,1.026776792625624,5,1.4359,0
105,busuri,Mim,1.625,-0.4528629118680195,-0.301624375177695,2,1.4694,0
105,furina,Adj,1.222222222,-0.4109481725504305,-0.7928182500111861,2,1.5464,0
105,hoka,Noun,3,-0.08668050746617308,1.3752098862597628,5,2.1421,0
105,kitanai,Adj,1.909090909,-0.8601435346916578,0.04482898451256741,3,0.7212,1
105,toboshii,Adj,1.8,-0.37023099721334396,-0.08820910554020034,3,1.6212,1
105,katachi,Noun,1.375,-0.4996767765603918,-0.6065033318026873,2,1.3834,0
105,kuchi,Noun,2.2,-0.34323137292565015,0.3995972250597875,4,1.6708,1
105,chikaku,Noun,2.769230769,-0.5914537252479959,1.0937831567860354,5,1.2148,0
105,hiku,Verb,2.352941176,-0.6559588760159739,0.5861114097153044,4,1.0963,0
105,hitotsu,Noun,2.230769231,-0.37523899204089994,0.4371207892335208,4,1.612,0
105,tsuma,Noun,0.65,-0.12663559663384885,-1.490652306015165,1,2.0687,1
105,goshagosha,Mim,1.5,0.050005090490276564,-0.4540638534901912,2,2.3932,1
105,sakana,Noun,1.25,-0.7426733951496354,-0.7589428101151835,2,0.937,0
105,mitsumeru,Verb,1.923076923,-0.26658727817348726,0.061885149935217675,3,1.8116,0
105,tegaruna,Adj,0.8,-0.6575374830811819,-1.3077249320401696,1,1.0934,1
105,gusha,Mim,2.75,-0.8341237354789206,1.0703309296347705,5,0.769,0
105,kotoshi,Noun,1.944444444,-0.6031571914210889,0.08794317996778805,3,1.1933,0
105,tegami,Noun,0.3,-1.086047649195547,-1.9174828452901542,1,0.30620000000000003,1
105,marena,Adj,1.083333333,-0.7920456919821721,-0.9621954482716838,1,0.8463,1
105,shiraberu,Verb,2,-0.7660803274958214,0.15569405975979345,3,0.894,0
105,jimoto,Noun,1.285714286,-0.7998842925818251,-0.7153886731060373,2,0.8319,0
105,haha,Noun,2.357142857,-0.6526927924327851,0.5912354261927087,4,1.1023,1
105,shobon,Mim,2.5,-0.40719217642976346,0.7654519730097781,4,1.5533,0
105,tsuyoi,Adj,2.3125,-0.5943932004728658,0.5367927555410339,4,1.2094,0
105,betsuna,Adj,1.142857143,-0.4768686262044569,-0.8896052199231064,2,1.4253,0
105,kurai,Adj,2.166666667,-0.30028237380671796,0.35894669791629347,4,1.7497,1
106,wasawasa,Mim,3.3,0.5497703134445432,1.7410646342097533,5,3.3113,1
106,matomeru,Verb,2.363636364,0.5778041975335799,0.5991543607486971,4,3.3628,0
106,noru,Verb,2.3,1.253556890895334,0.5215488077097841,4,4.6042,0
106,shiroi,Adj,3.083333333,0.38412544105048657,1.476836204728255,5,3.007,0
106,miseru,Verb,1.461538462,0.3017112653013568,-0.5009683077927211,2,2.8556,1
106,tobu,Verb,3.2,0.639152134171142,1.6191130515597567,5,3.4755,1
106,wasureru,Verb,1.545454545,1.1986866866977632,-0.39863131647633626,2,4.5034,1
106,kotori,Mim,1.7,6.818908881922593,-0.21016068819019737,3,14.8281,1
106,tegami,Noun,0.3,1.7855474718703968,-1.9174828452901542,1,5.5815,1
106,fukameru,Verb,1,-0.319933310032237,-1.063821766740176,1,1.7136,0
106,kasanaru,Verb,1.857142857,1.0032660189703024,-0.018522487057275935,3,4.1444,1
106,pekon,Mim,1,1.177021665595944,-1.063821766740176,1,4.4636,0
106,namida,Noun,1.8,0.45859214674719034,-0.08820910554020034,3,3.1438,1
106,samui,Adj,2.769230769,0.32484602401561047,1.0937831567860354,5,2.8981,0
