session,group,date,expName,psychopyVersion,OS,frameRate,participant,expt,status,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,WordClass,Definition,Target,Foil,TargetPositionX,TargetPositionY,FoilPositionX,FoilPositionY,TargetTime,FoilTime,CorrectKey,textbox.text,enter.keys,enter.rt,textbox_2.text,enter_2.keys,enter_2.rt,textbox_3.text,enter_3.keys,enter_3.rt,textbox_4.text,enter_4.keys,enter_4.rt,slider.response,slider.rt,key_resp_4.keys,key_resp_4.rt,slider_2.response,slider_2.rt,key_resp_5.keys,key_resp_5.rt
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.6841,0,26,26,26,1,shiroi,Adj,white,023-shiroi.mp3,019-hiroi.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.4054,0,27,27,27,1,mamoru,Verb,to protect,098-mamoru.mp3,085-wasureru.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,1.4205,0,28,28,28,1,kuchi,Noun,mouth,067-kuchi.mp3,069-hikari.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,1.781,0,29,29,29,1,nakama,Noun,friend,066-nakama.mp3,071-moji.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,1.9085,0,30,30,30,1,kebakeba,Mim,too much makeup,040-kebakeba.mp3,035-busuri.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.3671,0,31,31,31,1,hiku,Verb,to pull,094-hiku.mp3,078-noberu.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,1.2198,0,32,32,32,1,katachi,Noun,form,059-katachi.mp3,051-tegami.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,1.0172,0,33,33,33,1,nigatena,Adj,bad at,009-nigatena.mp3,001-hayamena.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,2.0984,0,34,34,34,1,wasawasa,Mim,restless,048-wasawasa.mp3,037-debudebu.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,1.7475,0,35,35,35,1,kotori,Mim,sound of something little falling or moving,036-kotori.mp3,029-tsuratsura.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,0.9172,0,36,36,36,1,shobon,Mim,"downheartedly, dejectedly",044-shobon.mp3,034-goshagosha.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.5173,0,37,37,37,1,samui,Adj,cold,021-samui.mp3,025-marui.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,0.7335,0,38,38,38,1,tomonau,Verb,to accompany,080-tomonau.mp3,086-nukeru.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,0.2271,0,39,39,39,1,jimoto,Noun,local,058-jimoto.mp3,062-yume.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,0.4559,0,40,40,40,1,kotoshi,Noun,this year,064-kotoshi.mp3,065-matsuri.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,1.0864,0,41,41,41,1,shiraberu,Verb,to look up,089-shiraberu.mp3,100-kasaneru.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,1.1669,0,42,42,42,1,matomeru,Verb,to summarize,095-matomeru.mp3,088-mitsumeru.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,0.9996,0,43,43,43,1,furina,Adj,disadvantaged,008-furina.mp3,020-kiyoi.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,0.6466,0,44,44,44,1,furui,Adj,old,013-furui.mp3,003-mijikana.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,0.7798,0,45,45,45,1,harari,Mim,gently falling,045-harari.mp3,046-gusha.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,1.8688,0,46,46,46,1,funyafunya,Mim,"soft and limp; or mumbling, talking with food in mouth",050-funyafunya.mp3,032-buwabuwa.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.352,0,47,47,47,1,haha,Noun,mother,070-haha.mp3,052-kako.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
