session,group,date,expName,psychopyVersion,OS,frameRate,participant,expt,status,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,WordClass,FilePath,Target,Foil,TargetPositionX,TargetPositionY,FoilPositionX,FoilPositionY,CorrectKey,textbox.text,enter.keys,enter.rt,textbox_2.text,enter_2.keys,enter_2.rt,textbox_3.text,enter_3.keys,enter_3.rt,textbox_4.text,enter_4.keys,enter_4.rt,slider.response,slider.rt,key_resp_3.keys,key_resp_3.rt,slider_2.response,slider_2.rt,key_resp_4.keys,key_resp_4.rt
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,s,1,5.5596,0,39,39,39,1,nosori,Mim,027-nosori.mp3,sluggishly,spontaneously,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,1,6.7831,0,40,40,40,1,jimoto,Noun,058-jimoto.mp3,local,letter (as in alphabet),0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,s,1,5.4112,0,41,41,41,1,haha,Noun,070-haha.mp3,mother,form,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,0,4.9233,0,42,42,42,1,toboshii,Adj,011-toboshii.mp3,poor,disadvantaged,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,1,4.2991,0,43,43,43,1,gusha,Mim,046-gusha.mp3,sound of something being squashed,spongy,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,1,2.5422,0,44,44,44,1,kitanai,Adj,012-kitanai.mp3,dirty,bad at,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,1,4.0741,0,45,45,45,1,nemui,Adj,024-nemui.mp3,sleepy,wide,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,k,0,3.6504,0,46,46,46,1,namida,Noun,063-namida.mp3,tears,light,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,s,1,3.6843,0,47,47,47,1,samui,Adj,021-samui.mp3,cold,smelly,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68312,4,2023-10-04_09h41.47.278,e1,2022.2.5,Win32,60.12144532,100,264,pilot,,,,,s,1,3.5356,0,48,48,48,1,noberu,Verb,078-noberu.mp3,to express,to die,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
